ID: 2020-03-06 17:09:24.948227	Date: 2020-03-06 17:09:24	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
49	40.0000	33.0000	0.4822	911746.5532
50	42.0000	34.2600	0.4644	936440.8729
51	42.0000	34.6800	0.4643	962079.3545
52	42.0000	34.9000	0.4668	986452.3151
53	42.0000	35.1000	0.4573	1010860.6620
54	42.0000	35.9200	0.4269	1035538.7530
55	42.0000	36.2400	0.4148	1060535.4693
56	43.0000	36.6200	0.4182	1086294.1177
57	45.0000	37.0200	0.4181	1112196.0008
58	45.0000	37.0800	0.4167	1137581.2485
59	45.0000	37.3000	0.4167	1163625.7412
Pos: [849.2448709539083, 375.8727192426742, 2.8760926797686226, 0.9699803449386376]

Run: 8
Iter	Gbest	AvrFit	Diver	ETime	
0	5.0000	0.1800	1.0000	24595.6278
1	5.0000	0.3000	0.9855	36894.2001
2	5.0000	0.3800	0.9507	52471.1294
3	5.0000	0.4400	0.9370	68528.5072
4	5.0000	0.4600	0.9152	82422.3800
5	5.0000	0.5800	0.9445	99978.3623
6	5.0000	0.5800	0.9682	117625.7465
7	5.0000	0.6000	0.9562	135202.4951
8	5.0000	0.7000	0.9687	151718.1966
9	5.0000	0.7400	0.9143	166779.3324
10	7.0000	0.8400	0.9383	181804.6834
11	7.0000	1.0000	0.9307	195669.0009
12	7.0000	1.0400	0.9533	211685.0436
13	7.0000	1.1000	0.9134	229456.3267
14	7.0000	1.1800	0.9172	248655.6704
15	7.0000	1.2400	0.9220	265934.3202
16	7.0000	1.4600	0.8994	284225.2326
17	32.0000	2.1200	0.8936	302510.9572
18	32.0000	2.3000	0.8925	321376.9217
19	32.0000	2.8200	0.8934	341631.3794
20	32.0000	3.8600	0.8596	364518.8401
21	32.0000	4.3000	0.8368	385338.1908
22	32.0000	4.6200	0.8304	404459.5301
23	32.0000	5.9400	0.8137	424720.8314
24	32.0000	6.9000	0.7826	443891.0480
25	35.0000	8.0600	0.7913	463865.9902
26	37.0000	8.8800	0.8080	484904.9065
27	37.0000	9.9400	0.8033	508300.1409
28	37.0000	11.0000	0.7795	531497.6757
29	37.0000	11.7000	0.7784	552901.5350
30	37.0000	14.1000	0.7661	574324.7604
31	37.0000	16.2600	0.7367	593838.7110
32	37.0000	16.3800	0.7370	616116.7314
33	37.0000	16.6200	0.7335	637390.0702
34	37.0000	17.7800	0.7238	659166.1749
35	37.0000	17.9800	0.7239	678125.4225
36	37.0000	18.6600	0.7006	700283.4351
37	37.0000	19.8000	0.6978	723105.1352
38	37.0000	20.2200	0.6823	744968.2808
39	37.0000	21.8400	0.6615	767570.2839
40	37.0000	23.4600	0.6532	790604.7246
41	37.0000	24.4600	0.6281	813653.3878
42	37.0000	25.1400	0.6292	835571.4335
43	37.0000	26.3200	0.6060	857568.7590
44	37.0000	26.8400	0.5933	879558.5310
45	37.0000	27.6000	0.5702	904759.5303
46	38.0000	28.2800	0.5574	927722.6157
47	38.0000	29.3800	0.5371	950620.6641
48	40.0000	31.3200	0.4971	974443.4383
49	40.0000	31.9400	0.4790	997881.5837
50	40.0000	32.3200	0.4785	1021843.2102
51	40.0000	33.1200	0.4745	1046125.0319
52	40.0000	33.3200	0.4734	1069986.4664
53	41.0000	34.1600	0.4459	1094386.2302
54	41.0000	34.5000	0.4393	1117189.8711
55	42.0000	35.0400	0.4376	1139158.8178
56	42.0000	35.4000	0.4351	1162362.5021
57	42.0000	35.7600	0.4396	1187941.8435
58	42.0000	36.0400	0.4311	1210544.7462
59	42.0000	36.1200	0.4294	1232573.6396
Pos: [844.7357421834238, 344.88267635727095, 1.6717458730608894, 0.9326238335011783]

Run: 9
Iter	Gbest	AvrFit	Diver	ETime	
0	9.0000	0.2400	1.0000	22778.8296
1	9.0000	0.3000	0.9684	32972.2044
2	9.0000	0.4000	0.9791	44470.1004
3	9.0000	0.5800	0.9799	56340.2746
4	9.0000	0.7000	0.9540	68302.0840
5	15.0000	1.1400	0.9164	83345.8829
6	15.0000	1.2600	0.9129	99834.2197
7	15.0000	1.2800	0.8767	115421.0427
8	15.0000	1.4600	0.8894	130717.8218
9	15.0000	1.5800	0.8815	147494.6709
10	15.0000	1.8200	0.8856	165410.9132
11	17.0000	1.9600	0.8795	186764.7779
12	17.0000	2.1400	0.8839	207020.6645
13	17.0000	2.3200	0.8749	227666.6021
14	22.0000	2.8400	0.8738	248229.4641
15	22.0000	2.9200	0.9101	267887.8748
16	22.0000	3.0400	0.9070	286721.1745
17	29.0000	3.7800	0.8946	307038.0003
18	29.0000	3.9200	0.8824	325363.6832
19	29.0000	4.2800	0.8647	343149.5054
20	29.0000	4.5400	0.8654	363451.5798
21	35.0000	5.9800	0.8555	384598.5291
